name,line,longitude,lat
Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),F-G,-73.99027199929631,40.68672833129767
Court St & Montague St At Sw Corner,2-3-4-5-N-R,-73.99067800087883,40.6937253321692
Court St & Montague St At Sw Corner,2-3-4-5-N-R,-73.99059199905463,40.69364233162096
Clinton St & Montague St At Nw Corner,2-3-4-5-N-R,-73.99253735666474,40.69439311951259
Flatbush Ave & Empire Blvd At Sw Corner,B-Q-S,-73.96224891505976,40.66272735822233
4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),D-N-R,-73.98339416852293,40.677164353136426
4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R,-73.9830823123968,40.67705163581415
4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R,-73.98298999680996,40.677195090567125
Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),2-3-4,-73.97520899965853,40.680699332136875
Lawrence St & Willoughby St At Ne Corner,N-R,-73.98621464349421,40.69204411365126
Lawrence St & Willoughby St At Se Corner,N-R,-73.98611377104048,40.69225841606925
Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),2-3,-73.98527100196482,40.69044933281495
Bridge St & Fulton St At Ne Corner (To Manhattan Only),2-3,-73.98525500091372,40.69089533430102
Duffield St & Fulton St At Nw Corner (To Manhattan Only),2-3,-73.98455099823616,40.69044233310524
Duffield St & Fulton St At Ne Corner (To Manhattan Only),2-3,-73.98434700115571,40.69040733460588
Bridge St & Willoughby St At Sw Corner,N-R,-73.9853614370053,40.69209560196739
Bridge St & Willoughby St At Ne Corner,N-R,-73.98519673719652,40.6922349388409
Flatbush Ave & Fleet St At Ne Corner,B-D-N-Q-R,-73.98215994526197,40.69150880161953
4th Ave & Pacific St At Nw Corner,2-3-4-5-B-D-N-Q-R,-73.97887100025939,40.68392533302039
Ashland Pl & Hanson Pl At Ne Corner,2-3-4-5-B-D-N-Q-R,-73.97774737202984,40.68515511399464
Lawrence St & Willoughby St At Ne Corner,N-R,-73.98619067591692,40.692356595499426
Smith St & President St At Nw Corner,F-G,-73.99439275047533,40.68111653102942
Washington Ave & Eastern Pkwy At Sw Corner,2-3-4,-73.96437533493408,40.67187792248514
Washington Ave & Eastern Pkwy At Nw Corner,2-3-4,-73.9641521775374,40.672136406270326
Franklin Ave & Eastern Pkwy At Se Corner,2-3-4-5-S,-73.95788689838815,40.67034264927396
Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S,-73.95764559593512,40.67074103071735
Franklin Ave & Fulton St At Sw Corner,A-C-S,-73.95569777997804,40.6810349162131
Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S,-73.95772031831413,40.67092662523541
Jay St & York St At Sw Corner,F,-73.98665300003897,40.701321334117814
Essex St & Delancey St At Nw Corner,F-J-M-Z,-73.98827785776706,40.71875307403228
Flatbush Ave & De Kalb Ave At Se Corner,B-D-N-Q-R,-73.98136070401198,40.68986468780061
Beach 90th St & Rockaway Frwy At Se Corner,A-S,-73.81401044668927,40.58772910999129
Red Cross Pl & Adams St At Sw Corner,A-C,-73.98891297872144,40.69916149839489
Sands St & Adams St At Se Corner,A-C,-73.98827070476248,40.699258549661955
Court St & Joralemon St At Ne Corner,2-3-4-5-N-R,-73.99060228644072,40.692604412145045
144-01 Hillside Avenue,F,-73.81182900070569,40.70534033363622
1515 Foster Avenue (Enter From Newkirk Ave Pz),B-Q,-73.96278299962141,40.635042334687064
37-01 36 Street (To Manhattan And Brooklyn Only),E-M-R,-73.92764099903118,40.75221933259894
4902 12 Avenue,D,-73.99461199971708,40.636375333486654
1 Barclay Street (Enter On Park Place),2-3-A-C-E,-74.00822400016112,40.71261233208483
486 Clinton Avenue (To Manhattan Only),A-C,-73.96711601759301,40.68367743863927
1175 Mc Donald Avenue,F,-73.97577719571551,40.62456419774763
135-02 89 Avenue,E,-73.81629903408628,40.70097087901282
40-02 75 Street,7-E-F-M-R,-73.89071415330041,40.74655506070692
1122 Broadway,J,-73.9296669980894,40.693672332740434
729 7 Avenue (Uptown Only),N-Q-R,-73.98356699808522,40.76029733269978
421 7 Avenue,1-2-3,-73.9906500010258,40.750283333883175
401 7 Avenue,1-2-3,-73.99112999976671,40.749656333388764
502 Broadway,G,-73.95054470515342,40.705471439407184
2 Ann Street,2-3-4-5-A-C-J-Z,-74.00842799968669,40.710692334471965
421 7 Avenue,1-2-3,-73.99085399865102,40.750313334125416
92-20 Jamaica Avenue,J-Z,-73.85243999690624,40.69343233252018
235 Brook Avenue (To Manhattan Only),6,-73.91931400054638,40.80776733502126
101 Avenue I,F,-73.976037465862,40.62614515290899
102 Beverly Road,F,-73.97924000018743,40.64271533364945
656 5 Avenue,E-M,-73.97614600085099,40.760422334098806
1490 Fulton Street (To Queens Only),A-C,-73.94135896287956,40.67977789566097
311 7 Avenue (Uptown Only),1-2,-73.99313799889377,40.74703633374136
Nassau Pl & Averill Pl At Sw Corner,@,-74.23900680299461,40.517832693759736
75 Richmond Terrace,@,-74.07671914942995,40.64472487956707
295 Broadway (To Manhattan Only),J-M-Z,-73.9580099984969,40.70858933343747
166 6 Avenue,A-C-E,-74.00374700179137,40.72558333510688
701 Seneca Avenue,M,-73.90748099965748,40.702836332058354
82-01 Roosevelt Avenue,7,-73.88382899762428,40.74781733418656
47 Pine Street,2-3,-74.00887881856787,40.706799954225964
1025 Longwood Avenue (To Manhattan Only),6,-73.89623400091769,40.816553332314186
573 Lafayette Avenue,G,-73.95165440322162,40.69002502607878
180 Central Park West,A-C-B,-73.97291800122908,40.78089533239267
4761 Broadway,A,-73.92726600010866,40.86575833317047
39-16 111 Street,7,-73.85601699973269,40.75169833203265
418 Broadway,4-6-6 Express-J-Z-N-Q-R,-74.00161700000598,40.71947133251508
462 Flatbush Avenue (Enter From Lincoln Rd),B-Q-S,-73.96204895809417,40.66085870195627
956 8 Avenue,1-2-A-C-B-D,-73.9828150007622,40.76645233247664
1720 Broadway,J-Z,-73.91127400072205,40.68318133298304
856 Fulton Street (To Queens Only),A-C,-73.96709508186275,40.68338858979985
42-01 28 Street,E-M-R,-73.93797900019601,40.74914333213083
2154 Fulton Street,A-C,-73.91063400075637,40.678054334919686
1 Centre Street,4-5-6-6 Express-J-Z,-74.00409900180475,40.712699334587505
626 Manhattan Avenue,G,-73.95059200078244,40.72371533223869
344 Classon Avenue,G,-73.96014953422323,40.688763233306766
40-33 21 Street,F,-73.94213200063093,40.75406933235426
1824 Broadway,1-2-A-C-B-D,-73.98171700111484,40.76870133250199
602 Marcy Avenue,G,-73.94908000050044,40.693979331971356
131 East 60 Street,4-5-6-6 Express-N-Q-R,-73.96763699847082,40.76264133219428
2137 Nostrand Avenue,2-5,-73.94750633350756,40.63303461734425
70 6 Avenue (To Manhattan Only),2-3-4,-73.97476299895128,40.68067533431881
Nostrand Ave & Flatbush Ave At Nw Corner,2-5,-73.94792800106939,40.633251333832554
Nostrand Ave & Flatbush Ave At Ne Corner,2-5,-73.94750600040345,40.63285833338635
Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),2-5,-73.94941600172919,40.65066333377283
Nostrand Ave & President St At Ne Corner,2-5,-73.95047399873097,40.66812833457188
Nostrand Ave & Eastern Pkwy At Se Corner,3-4,-73.95038899932271,40.66980433320394
Marcy Ave & Myrtle Ave At Nw Corner,G,-73.94942299954086,40.69543933241474
Schenectady Ave & Eastern Pkwy At Ne Corner,3-4,-73.93378899753249,40.66902733202893
Utica Ave & Eastern Pkwy At Se Corner,3-4,-73.9310288422416,40.66868046959043
Broadway & Myrtle Ave At Nw Corner,J-Z,-73.93545257786508,40.69685193407321
Bedford Ave & N 7th St At Se Corner,L,-73.95768699987516,40.71771933363141
